carfolder,folder_name,Cd,Cl,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29
cx5_001,cx5_001,0.315277,-0.055176,0.1,0.07,-0.034,-0.05,0.07,-0.05,-0.03,-0.03,-0.03,-0.02,0.07,1.0,-0.034,-0.05,-0.05,-0.03,-0.03,0.017,0.017,-0.07,0.017,-0.6,-0.05,-0.05,-0.02,0.017,0.017,0.0,-0.017
cx5_002,cx5_002,0.321845,-0.02469,0.1,0.07,-0.034,-0.05,0.07,-0.05,-0.03,-0.03,-0.03,-0.02,0.07,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.034,0.034,0.06,0.034,0.4,0.0,0.0,0.02,0.034,0.034,0.05,0.017
cx5_003,cx5_003,0.315279,-0.038667,0.1,0.07,-0.034,-0.05,0.07,-0.05,-0.03,0.04,0.04,-0.01,0.075,1.05,-0.017,0.05,0.05,-0.03,-0.03,0.017,0.017,-0.07,0.017,-0.6,-0.05,0.0,0.02,0.034,0.034,0.05,0.017
cx5_004,cx5_004,0.323143,-0.037685,0.1,0.07,-0.034,-0.05,0.07,-0.05,-0.03,0.04,0.04,-0.01,0.075,1.05,-0.017,0.05,0.05,0.04,0.04,0.034,0.034,0.06,0.034,0.4,0.0,-0.05,-0.02,0.017,0.017,0.0,-0.017
cx5_005,cx5_005,0.315029,-0.045374,0.1,0.07,-0.034,0.0,0.14,0.0,0.04,-0.03,-0.03,-0.02,0.07,1.05,-0.017,0.05,0.05,-0.03,-0.03,0.017,0.017,0.06,0.034,0.4,0.0,-0.05,-0.02,0.017,0.017,0.05,0.017
cx5_006,cx5_006,0.325002,-0.047901,0.1,0.07,-0.034,0.0,0.14,0.0,0.04,-0.03,-0.03,-0.02,0.07,1.05,-0.017,0.05,0.05,0.04,0.04,0.034,0.034,-0.07,0.017,-0.6,-0.05,0.0,0.02,0.034,0.034,0.0,-0.017
cx5_007,cx5_007,0.32035,-0.039752,0.1,0.07,-0.034,0.0,0.14,0.0,0.04,0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,-0.05,-0.03,-0.03,0.017,0.017,0.06,0.034,0.4,0.0,0.0,0.02,0.034,0.034,0.0,-0.017
cx5_008,cx5_008,0.309433,-0.036357,0.1,0.07,-0.034,0.0,0.14,0.0,0.04,0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.034,0.034,-0.07,0.017,-0.6,-0.05,-0.05,-0.02,0.017,0.017,0.05,0.017
cx5_009,cx5_009,0.320045,-0.0604,0.1,0.14,-0.017,-0.05,0.07,0.0,0.04,-0.03,-0.03,-0.01,0.075,1.0,-0.034,0.05,0.05,-0.03,-0.03,0.034,0.034,-0.07,0.017,0.4,0.0,-0.05,-0.02,0.034,0.034,0.0,-0.017
cx5_010,cx5_010,0.316076,-0.068048,0.1,0.14,-0.017,-0.05,0.07,0.0,0.04,-0.03,-0.03,-0.01,0.075,1.0,-0.034,0.05,0.05,0.04,0.04,0.017,0.017,0.06,0.034,-0.6,-0.05,0.0,0.02,0.017,0.017,0.05,0.017
cx5_011,cx5_011,0.31669,-0.061644,0.1,0.14,-0.017,-0.05,0.07,0.0,0.04,0.04,0.04,-0.02,0.07,1.05,-0.017,-0.05,-0.05,-0.03,-0.03,0.034,0.034,-0.07,0.017,0.4,0.0,0.0,0.02,0.017,0.017,0.05,0.017
cx5_012,cx5_012,0.312281,-0.035897,0.1,0.14,-0.017,-0.05,0.07,0.0,0.04,0.04,0.04,-0.02,0.07,1.05,-0.017,-0.05,-0.05,0.04,0.04,0.017,0.017,0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.0,-0.017
cx5_013,cx5_013,0.321332,-0.034581,0.1,0.14,-0.017,0.0,0.14,-0.05,-0.03,-0.03,-0.03,-0.01,0.075,1.05,-0.017,-0.05,-0.05,-0.03,-0.03,0.034,0.034,0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.05,0.017
cx5_014,cx5_014,0.334692,-0.056297,0.1,0.14,-0.017,0.0,0.14,-0.05,-0.03,-0.03,-0.03,-0.01,0.075,1.05,-0.017,-0.05,-0.05,0.04,0.04,0.017,0.017,-0.07,0.017,0.4,0.0,0.0,0.02,0.017,0.017,0.0,-0.017
cx5_015,cx5_015,0.320751,-0.065275,0.1,0.14,-0.017,0.0,0.14,-0.05,-0.03,0.04,0.04,-0.02,0.07,1.0,-0.034,0.05,0.05,-0.03,-0.03,0.034,0.034,0.06,0.034,-0.6,-0.05,0.0,0.02,0.017,0.017,0.0,-0.017
cx5_016,cx5_016,0.310414,-0.033529,0.1,0.14,-0.017,0.0,0.14,-0.05,-0.03,0.04,0.04,-0.02,0.07,1.0,-0.034,0.05,0.05,0.04,0.04,0.017,0.017,-0.07,0.017,0.4,0.0,-0.05,-0.02,0.034,0.034,0.05,0.017
cx5_017,cx5_017,0.320874,-0.045666,0.2,0.07,-0.017,-0.05,0.14,-0.05,0.04,-0.03,0.04,-0.02,0.075,1.0,-0.017,-0.05,0.05,-0.03,0.04,0.017,0.034,-0.07,0.034,-0.6,0.0,-0.05,0.02,0.017,0.034,0.0,0.017
cx5_018,cx5_018,0.316852,-0.071283,0.2,0.07,-0.017,-0.05,0.14,-0.05,0.04,-0.03,0.04,-0.02,0.075,1.0,-0.017,-0.05,0.05,0.04,-0.03,0.034,0.017,0.06,0.017,0.4,-0.05,0.0,-0.02,0.034,0.017,0.05,-0.017
cx5_019,cx5_019,0.328293,-0.06283,0.2,0.07,-0.017,-0.05,0.14,-0.05,0.04,0.04,-0.03,-0.01,0.07,1.05,-0.034,0.05,-0.05,-0.03,0.04,0.017,0.034,-0.07,0.034,-0.6,0.0,0.0,-0.02,0.034,0.017,0.05,-0.017
cx5_020,cx5_020,0.320431,-0.056372,0.2,0.07,-0.017,-0.05,0.14,-0.05,0.04,0.04,-0.03,-0.01,0.07,1.05,-0.034,0.05,-0.05,0.04,-0.03,0.034,0.017,0.06,0.017,0.4,-0.05,-0.05,0.02,0.017,0.034,0.0,0.017
