carfolder,folder_name,Cd,Cl,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29,pca_1,pca_2,pca_3,ima_1,ima_2,ima_3,ima_4,ima_5,ima_6,ima_7,ima_8,ima_9,ima_10,ima_11,ima_12,ima_13,ima_14
cx5_001,cx5_001,0.315277,-0.055176,0.1,0.07,-0.034,-0.05,0.07,-0.05,-0.03,-0.03,-0.03,-0.02,0.07,1.0,-0.034,-0.05,-0.05,-0.03,-0.03,0.017,0.017,-0.07,0.017,-0.6,-0.05,-0.05,-0.02,0.017,0.017,0.0,-0.017,-0.04711188728263527,1.671350486181085,-0.02498419077179721,4.04210054021736,3.734996570276117,4.70874900062215,4.235931654399803,4.286246362147633,3.9769678891754596,4.154676766323292,3.468435786272317,3.6231802675318274,3.3762434248577935,4.1955014019895085,4.033544260387562,4.120206947603791,4.244452913318944
cx5_002,cx5_002,0.321845,-0.02469,0.1,0.07,-0.034,-0.05,0.07,-0.05,-0.03,-0.03,-0.03,-0.02,0.07,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.034,0.034,0.06,0.034,0.4,0.0,0.0,0.02,0.034,0.034,0.05,0.017,0.2061702450406495,1.5438769145193305,-1.009098772382964,4.032121958970765,3.8113824293976455,4.7115703172996195,4.085848141952027,4.302046265377327,3.6808429712371917,3.7482560351203995,3.4707599228739903,3.4771442732811937,3.5399661992827416,4.3504688612689515,4.141242929882033,3.86785553352871,4.472200826515842
cx5_003,cx5_003,0.315279,-0.038667,0.1,0.07,-0.034,-0.05,0.07,-0.05,-0.03,0.04,0.04,-0.01,0.075,1.05,-0.017,0.05,0.05,-0.03,-0.03,0.017,0.017,-0.07,0.017,-0.6,-0.05,0.0,0.02,0.034,0.034,0.05,0.017,,,,,,,,,,,,,,,,,
cx5_004,cx5_004,0.323143,-0.037685,0.1,0.07,-0.034,-0.05,0.07,-0.05,-0.03,0.04,0.04,-0.01,0.075,1.05,-0.017,0.05,0.05,0.04,0.04,0.034,0.034,0.06,0.034,0.4,0.0,-0.05,-0.02,0.017,0.017,0.0,-0.017,-0.5522593260552844,1.4272331234980165,-0.10571759779196038,3.813884825646058,3.549821707756277,4.514257944799235,4.146676258950939,4.112777291425559,3.9605669346015064,4.166273399154935,3.347028392074964,3.487346878508993,3.2101731184291027,4.0885193290786255,3.903651114446002,4.031952276412479,4.150734327279093
cx5_005,cx5_005,0.315029,-0.045374,0.1,0.07,-0.034,0.0,0.14,0.0,0.04,-0.03,-0.03,-0.02,0.07,1.05,-0.017,0.05,0.05,-0.03,-0.03,0.017,0.017,0.06,0.034,0.4,0.0,-0.05,-0.02,0.017,0.017,0.05,0.017,-0.6143141885418486,1.834967347561383,-0.3316058043341691,3.955632716333565,3.695539002769462,4.744728010747659,4.2480457721630565,4.309247254662391,3.841807793707317,4.137555640468521,3.2759873550964658,3.371745591994397,3.1641147516993327,4.038679525878155,3.8646336730443602,3.9654482706141407,4.14599425856391
cx5_006,cx5_006,0.325002,-0.047901,0.1,0.07,-0.034,0.0,0.14,0.0,0.04,-0.03,-0.03,-0.02,0.07,1.05,-0.017,0.05,0.05,0.04,0.04,0.034,0.034,-0.07,0.017,-0.6,-0.05,0.0,0.02,0.034,0.034,0.0,-0.017,-0.5375166030090148,1.7127636911625874,-0.32451293366698336,3.926526609622451,3.6681934080089738,4.685403492584212,4.211188396246926,4.260234017394929,3.8597125692771783,4.116266038560583,3.3082608092173635,3.4086455826382838,3.20350443202177,4.0741677308875,3.8949210884204812,3.9751556777922437,4.171253431111394
cx5_007,cx5_007,0.32035,-0.039752,0.1,0.07,-0.034,0.0,0.14,0.0,0.04,0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,-0.05,-0.03,-0.03,0.017,0.017,0.06,0.034,0.4,0.0,0.0,0.02,0.034,0.034,0.0,-0.017,-1.5684248741160634,1.8060891511862334,-1.0845659187733676,3.682955049756908,3.539014845882611,4.645571377026035,4.146286662703903,4.214564239089066,3.5704074159838,3.9887522866315726,2.9606972417812236,2.9262319384261604,2.8473106408989066,3.8274937453980447,3.6064441977015456,3.633019844384515,4.037948812246333
cx5_008,cx5_008,0.309433,-0.036357,0.1,0.07,-0.034,0.0,0.14,0.0,0.04,0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.034,0.034,-0.07,0.017,-0.6,-0.05,-0.05,-0.02,0.017,0.017,0.05,0.017,-1.53074671680233,2.347871918224083,-0.4150603267705125,3.925132806468554,3.690323931770316,4.92376996199059,4.3922782386670685,4.445320507022862,3.7299164154219535,4.287360259563949,2.975366531401036,3.0353623512104764,2.776160238166743,3.7270305450381764,3.5649346375321698,3.8367285435139853,3.9047773308334843
cx5_009,cx5_009,0.320045,-0.0604,0.1,0.14,-0.017,-0.05,0.07,0.0,0.04,-0.03,-0.03,-0.01,0.075,1.0,-0.034,0.05,0.05,-0.03,-0.03,0.034,0.034,-0.07,0.017,0.4,0.0,-0.05,-0.02,0.034,0.034,0.0,-0.017,-0.22282628473505617,1.4384570330845285,0.11653403335085294,3.907631695875865,3.6069250938224737,4.550855418809104,4.177907138460635,4.147810629624424,4.041947251058058,4.2040578991602455,3.4528016246725617,3.632140982325944,3.321612583404472,4.163930571702115,3.993682819109708,4.135956758063627,4.194028169872409
cx5_010,cx5_010,0.316076,-0.068048,0.1,0.14,-0.017,-0.05,0.07,0.0,0.04,-0.03,-0.03,-0.01,0.075,1.0,-0.034,0.05,0.05,0.04,0.04,0.017,0.017,0.06,0.034,-0.6,-0.05,0.0,0.02,0.017,0.017,0.05,0.017,-0.06028163790156027,1.1233107469449894,-1.3580542513185634,3.787777804380087,3.632674340283327,4.459229830195445,3.912601529106855,4.086215593294101,3.604467730696907,3.6105479089935235,3.408595947397098,3.365268786577384,3.4952908869271835,4.350036702957231,4.09963740828887,3.7295788736015956,4.4906843899262086
cx5_011,cx5_011,0.31669,-0.061644,0.1,0.14,-0.017,-0.05,0.07,0.0,0.04,0.04,0.04,-0.02,0.07,1.05,-0.017,-0.05,-0.05,-0.03,-0.03,0.034,0.034,-0.07,0.017,0.4,0.0,0.0,0.02,0.017,0.017,0.05,0.017,-0.22476676884455138,1.2374413307033514,-0.15992851488745155,3.820173056975202,3.5552407793655365,4.450336322896568,4.0835308887309445,4.064954549922686,3.9740898025662355,4.081432684242406,3.4484056966922485,3.588457775685871,3.354193682257893,4.206542975013983,4.013327805771063,4.053820313214628,4.2508658882824255
cx5_012,cx5_012,0.312281,-0.035897,0.1,0.14,-0.017,-0.05,0.07,0.0,0.04,0.04,0.04,-0.02,0.07,1.05,-0.017,-0.05,-0.05,0.04,0.04,0.017,0.017,0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.0,-0.017,0.043282482886501494,1.199931244454019,-0.12771270423189426,3.874250494467212,3.5956709861992913,4.460562233827597,4.0774280179939275,4.078200043250728,3.9972739181691987,4.0529152951519505,3.5269053408361803,3.6763495823893373,3.4574423834616717,4.2838315423750215,4.093437925411553,4.095276189552582,4.312976783813069
cx5_013,cx5_013,0.321332,-0.034581,0.1,0.14,-0.017,0.0,0.14,-0.05,-0.03,-0.03,-0.03,-0.01,0.075,1.05,-0.017,-0.05,-0.05,-0.03,-0.03,0.034,0.034,0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.05,0.017,-0.146337166696761,1.7194775476550088,-1.4253722237903494,4.002522301940031,3.8284485207219974,4.785209753225237,4.090796656641386,4.361877112627917,3.5159663089772013,3.663643613477701,3.3267435425444285,3.2595650197421464,3.414648265962704,4.260060926222867,4.037221437044557,3.7081387450099004,4.442591589565217
cx5_014,cx5_014,0.334692,-0.056297,0.1,0.14,-0.017,0.0,0.14,-0.05,-0.03,-0.03,-0.03,-0.01,0.075,1.05,-0.017,-0.05,-0.05,0.04,0.04,0.017,0.017,-0.07,0.017,0.4,0.0,0.0,0.02,0.017,0.017,0.0,-0.017,-1.0290631979125995,1.9087046560643195,-0.8014314658485905,3.8681777328518048,3.667648575906666,4.756166022832205,4.214576048470627,4.315647720218026,3.668515868488636,4.030552091614318,3.119979904017812,3.1350218949360653,3.027072597430027,3.9466414299363874,3.7504136370022585,3.7813793118741015,4.116436709676749
cx5_015,cx5_015,0.320751,-0.065275,0.1,0.14,-0.017,0.0,0.14,-0.05,-0.03,0.04,0.04,-0.02,0.07,1.0,-0.034,0.05,0.05,-0.03,-0.03,0.034,0.034,0.06,0.034,-0.6,-0.05,0.0,0.02,0.017,0.017,0.0,-0.017,-0.09650169778583573,1.5387957512469708,-1.2348499931598742,3.9475651860574743,3.7622484598434838,4.6818203396897395,4.056336236868317,4.273339752373059,3.5985463229843617,3.7062747941118706,3.3714109799941836,3.3384574560399223,3.4383604906321015,4.28207354403358,4.058735295011393,3.766206888827588,4.435556430966841
cx5_016,cx5_016,0.310414,-0.033529,0.1,0.14,-0.017,0.0,0.14,-0.05,-0.03,0.04,0.04,-0.02,0.07,1.0,-0.034,0.05,0.05,0.04,0.04,0.017,0.017,-0.07,0.017,0.4,0.0,-0.05,-0.02,0.034,0.034,0.05,0.017,-1.0000000215954072,2.123373457297486,-0.04761515914246751,3.9794342976391723,3.696621014807193,4.8466206285894415,4.3677784952756955,4.386178162579826,3.8900737838993047,4.324787428748421,3.168176037809642,3.297450974589367,2.9762426031695943,3.8765865900778724,3.7255898012102544,4.003579774974642,3.988516497564076
cx5_017,cx5_017,0.320874,-0.045666,0.2,0.07,-0.017,-0.05,0.14,-0.05,0.04,-0.03,0.04,-0.02,0.075,1.0,-0.017,-0.05,0.05,-0.03,0.04,0.017,0.034,-0.07,0.034,-0.6,0.0,-0.05,0.02,0.017,0.034,0.0,0.017,0.10072609769460272,1.8346386346811219,-0.3017632670710553,4.138407047382935,3.842251324733164,4.830264097722532,4.256576125308843,4.394519029403815,3.8748274750354104,4.0521086194980365,3.4720590094066823,3.5820423041432177,3.4340869658160083,4.23697326047161,4.073255299410617,4.06138198676788,4.314330449028991
cx5_018,cx5_018,0.316852,-0.071283,0.2,0.07,-0.017,-0.05,0.14,-0.05,0.04,-0.03,0.04,-0.02,0.075,1.0,-0.017,-0.05,0.05,0.04,-0.03,0.034,0.017,0.06,0.017,0.4,-0.05,0.0,-0.02,0.034,0.017,0.05,-0.017,-0.10594193490803328,1.9112484671114451,-0.2979487077988494,4.1164600464712695,3.8258098502126563,4.8477962346922086,4.279462233984232,4.405617602472874,3.8610985703365253,4.089805621208267,3.409538481662645,3.515802337735732,3.3486944336502646,4.169731057594423,4.007640562909418,4.038282943391112,4.258787347314904
cx5_019,cx5_019,0.328293,-0.06283,0.2,0.07,-0.017,-0.05,0.14,-0.05,0.04,0.04,-0.03,-0.01,0.07,1.05,-0.034,0.05,-0.05,-0.03,0.04,0.017,0.034,-0.07,0.034,-0.6,0.0,0.0,-0.02,0.034,0.017,0.05,-0.017,-1.3318575621742004,1.362544932967456,-0.21017003150218563,3.586887973226105,3.372051317780494,4.387776704850467,4.108839013547756,3.992259310437877,3.9082990272602305,4.226056369691592,3.133386497992823,3.2482425388596243,2.925601871812554,3.8850588244325848,3.682285243083694,3.9058744705717023,3.982922005802589
cx5_020,cx5_020,0.320431,-0.056372,0.2,0.07,-0.017,-0.05,0.14,-0.05,0.04,0.04,-0.03,-0.01,0.07,1.05,-0.034,0.05,-0.05,0.04,-0.03,0.034,0.017,0.06,0.017,0.4,-0.05,-0.05,0.02,0.017,0.034,0.0,0.017,-1.475337920577945,1.7663219811964055,0.12356197887326006,3.719707033673458,3.4605659520907914,4.581499286162271,4.272098992048726,4.1510574081170155,3.968174154962296,4.4115575503749245,3.084807332829276,3.2418612201307235,2.816869554071585,3.7736871850902345,3.605348818246532,3.989454289632233,3.8687127663248773
cx5_021,cx5_021,0.321624,-0.036827,0.2,0.07,-0.017,0.0,0.07,0.0,-0.03,-0.03,0.04,-0.02,0.075,1.05,-0.034,0.05,-0.05,-0.03,0.04,0.017,0.034,0.06,0.017,0.4,-0.05,-0.05,0.02,0.017,0.034,0.05,-0.017,0.16142386296258227,1.2871254033728903,0.40417712007445145,3.951939474358336,3.6139098774464866,4.50031523812593,4.1661355027153535,4.109308711907534,4.163684334781348,4.240264060982503,3.5930980640237644,3.8257565415067267,3.4642554182830785,4.269366287821586,4.108708473026385,4.263095284988545,4.250460789587969
cx5_022,cx5_022,0.32051,-0.052041,0.2,0.07,-0.017,0.0,0.07,0.0,-0.03,-0.03,0.04,-0.02,0.075,1.05,-0.034,0.05,-0.05,0.04,-0.03,0.034,0.017,-0.07,0.034,-0.6,0.0,0.0,-0.02,0.034,0.017,0.0,0.017,0.2274253061171445,1.7508762392730777,-0.6994285603617625,4.127688674944466,3.8668808097724066,4.816326427097218,4.186018960560556,4.388550205207709,3.759421773763516,3.881030418820466,3.482474170465236,3.533489399861194,3.512299210050817,4.310234474775072,4.1260117139867045,3.961936322082593,4.414315942015433
cx5_023,cx5_023,0.320645,-0.05381,0.2,0.07,-0.017,0.0,0.07,0.0,-0.03,0.04,-0.03,-0.01,0.07,1.0,-0.017,-0.05,0.05,-0.03,0.04,0.017,0.034,0.06,0.017,0.4,-0.05,0.0,-0.02,0.034,0.017,0.0,0.017,0.17532013385320977,1.606770767864342,-0.6349443627449525,4.05835857808804,3.8010284518392563,4.726535230302972,4.14790181400276,4.310834068358972,3.7940166354437297,3.895560775715307,3.4863157791635366,3.5496847938707834,3.5013298660111847,4.3081800876635965,4.11851672403089,3.971999441490641,4.400535527319595
cx5_024,cx5_024,0.320717,-0.040718,0.2,0.07,-0.017,0.0,0.07,0.0,-0.03,0.04,-0.03,-0.01,0.07,1.0,-0.017,-0.05,0.05,0.04,-0.03,0.034,0.017,-0.07,0.034,-0.6,0.0,-0.05,0.02,0.017,0.034,0.05,-0.017,,,,,,,,,,,,,,,,,
cx5_025,cx5_025,0.311475,-0.049819,0.2,0.14,-0.034,-0.05,0.14,0.0,-0.03,-0.03,0.04,-0.01,0.07,1.0,-0.017,0.05,-0.05,-0.03,0.04,0.034,0.017,-0.07,0.034,0.4,-0.05,-0.05,0.02,0.034,0.017,0.0,0.017,0.08180701480602404,2.0394555717194294,-1.095890242195479,4.196435132209727,3.965264789303924,4.97747588111562,4.2300797288975405,4.526210710085767,3.5955848927136866,3.7882835330735674,3.385975169413878,3.3669925372072806,3.4546276519974186,4.2630316321023525,4.07467998319242,3.8347555523541796,4.424391606340755
cx5_026,cx5_026,0.321045,-0.053572,0.2,0.14,-0.034,-0.05,0.14,0.0,-0.03,-0.03,0.04,-0.01,0.07,1.0,-0.017,0.05,-0.05,0.04,-0.03,0.017,0.034,0.06,0.017,-0.6,0.0,0.0,-0.02,0.017,0.034,0.05,-0.017,-0.22433931270043672,1.9396939586192499,-0.2812050786646878,4.0980629411981315,3.8099653303903946,4.848560727801884,4.289400245401277,4.403971125034113,3.859594873422341,4.114990766970695,3.3762490976226176,3.482979913193951,3.3002816068996106,4.132017751523281,3.9706866022186293,4.028998592867077,4.225612483504354
cx5_027,cx5_027,0.326932,-0.031351,0.2,0.14,-0.034,-0.05,0.14,0.0,-0.03,0.04,-0.03,-0.02,0.075,1.05,-0.034,-0.05,0.05,-0.03,0.04,0.034,0.017,-0.07,0.034,0.4,-0.05,0.0,-0.02,0.017,0.034,0.05,-0.017,0.05356312799307539,1.4770914934607546,-0.5116062501298747,3.9784565778561554,3.721643000544768,4.633746576311133,4.120489229374515,4.228785102878045,3.8438123036161844,3.942488426651831,3.4746470304298267,3.5583766899913414,3.4592709790364524,4.280781251290656,4.088177552135147,3.990587061446419,4.359504460867716
cx5_028,cx5_028,0.332364,-0.05365,0.2,0.14,-0.034,-0.05,0.14,0.0,-0.03,0.04,-0.03,-0.02,0.075,1.05,-0.034,-0.05,0.05,0.04,-0.03,0.017,0.034,0.06,0.017,-0.6,0.0,-0.05,0.02,0.034,0.017,0.0,0.017,-0.06404743347332875,1.7007237876294905,0.20304854760564664,4.054985833290739,3.7259341174670766,4.713085611072899,4.270962412276294,4.287576496193992,4.046964514811049,4.243210147524188,3.4792218807010946,3.6689037321506386,3.3541836187009397,4.1713114764658865,4.020825166257823,4.183781529516627,4.2017998145863205
cx5_029,cx5_029,0.316888,-0.065007,0.2,0.14,-0.034,0.0,0.07,-0.05,0.04,-0.03,0.04,-0.01,0.07,1.05,-0.034,-0.05,0.05,-0.03,0.04,0.034,0.017,0.06,0.017,-0.6,0.0,-0.05,0.02,0.034,0.017,0.05,-0.017,-0.8103096476829683,1.5599679267476887,0.29885254616741913,3.8108743634215965,3.5145302795268543,4.539298955326369,4.232377401882197,4.125726341746489,4.068664858651768,4.362972547805234,3.297205757929837,3.4948252760517535,3.077406953850189,3.9721741804449313,3.8090590368671227,4.118002655535995,4.01470891154173
cx5_030,cx5_030,0.316936,-0.052557,0.2,0.14,-0.034,0.0,0.07,-0.05,0.04,-0.03,0.04,-0.01,0.07,1.05,-0.034,-0.05,0.05,0.04,-0.03,0.017,0.034,-0.07,0.034,0.4,-0.05,0.0,-0.02,0.017,0.034,0.0,0.017,-0.3178624142347404,1.5516461036928142,-1.1015398335647624,3.8994910728073937,3.7114009139683577,4.656199687010283,4.073915552733203,4.246393688410632,3.6330282951615827,3.7860246949378267,3.32082307205896,3.3055615619144856,3.3455028308150982,4.209195295335735,3.9896661386178547,3.777465484153424,4.359701506965368
cx5_031,cx5_031,0.324787,-0.049889,0.2,0.14,-0.034,0.0,0.07,-0.05,0.04,0.04,-0.03,-0.02,0.075,1.0,-0.017,0.05,-0.05,-0.03,0.04,0.034,0.017,0.06,0.017,-0.6,0.0,0.0,-0.02,0.017,0.034,0.0,0.017,-0.765818631135085,1.8178659681389302,0.26938019650467426,3.9245847338498074,3.6162622986362942,4.690277817210526,4.310021810782885,4.254913024489323,4.03293358335516,4.374811143941945,3.2839046777470053,3.47224127090389,3.0735875142935303,3.956172089151783,3.8059944257006606,4.118615984014249,4.013745105161324
cx5_032,cx5_032,0.312494,-0.073353,0.2,0.14,-0.034,0.0,0.07,-0.05,0.04,0.04,-0.03,-0.02,0.075,1.0,-0.017,0.05,-0.05,0.04,-0.03,0.017,0.034,-0.07,0.034,0.4,-0.05,-0.05,0.02,0.034,0.017,0.05,-0.017,,,,,,,,,,,,,,,,,
cx5_033,cx5_033,0.319110135,-0.057134104,0.2,0.08,-0.034,-0.05,0.14,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.0,-0.016,0.048,0.05,0.04,-0.02,0.018,0.034,0.06,0.02,0.4,-0.05,0.0,-0.02,0.034,0.018,0.05,-0.016,-0.5530708651909253,2.0544116819598877,-0.45826067321704056,4.055914900234448,3.794025616812953,4.880511100995009,4.302717617514037,4.426713409485258,3.7793381539990656,4.10750774088002,3.2629878870038733,3.3352292533157435,3.175572956234008,4.038728555152864,3.871475623371629,3.939770304652069,4.167173539586341
cx5_034,cx5_034,0.319200943,-0.054958754,0.1,0.14,-0.016,-0.05,0.08,0.0,0.04,0.04,-0.02,-0.01,0.07,1.0,-0.016,0.05,0.05,-0.02,0.04,0.018,0.034,0.06,0.018,0.4,-0.05,0.0,-0.02,0.034,0.018,0.0,0.018,-0.28100951291202136,1.1930549487114863,-0.6551564063527596,3.776243544176462,3.5623545716732075,4.440450809022628,4.012842279363821,4.059983679476778,3.816957939625645,3.903834326932185,3.398051012748208,3.4605919815469703,3.3650749474849517,4.230716363562492,4.012445743421915,3.904653819900113,4.319736481635628
cx5_035,cx5_035,0.30434836,-0.033572279,0.1,0.08,-0.034,0.0,0.06,0.0,0.04,0.04,-0.02,-0.01,0.075,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.016,0.034,-0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.018,0.05,0.018,-1.1268974325716004,1.7005611098649922,-0.22510775257339186,3.773856242553084,3.534280048533414,4.602465621927176,4.214375589586066,4.17828586537568,3.873910905725109,4.230451111457394,3.157546258873321,3.26590706260388,2.97495134363461,3.9035153355604075,3.7206002933530926,3.9313806328445584,4.013352609335307
cx5_036,cx5_036,0.318442016,-0.047335723,0.1,0.14,-0.016,0.0,0.14,-0.05,-0.02,-0.02,-0.02,-0.01,0.075,1.05,-0.016,-0.05,-0.05,-0.04,0.04,0.018,0.034,-0.06,0.034,0.4,0.0,0.0,0.02,0.018,0.018,0.0,-0.016,-0.5051260383368346,1.4679411108634302,-1.3020251044175126,3.813519812255923,3.65697909184777,4.595403511547663,4.0235308177473055,4.1932069067640825,3.5710964999575268,3.7289955404528383,3.2617494337738635,3.214253780047362,3.2931265538137353,4.180674602149931,3.94543888213864,3.6960519512877132,4.351957155425327
cx5_037,cx5_037,0.321756934,-0.041376793,0.12,0.14,-0.016,-0.002,0.14,-0.05,-0.02,-0.04,-0.02,-0.01,0.07,1.05,-0.016,-0.048,-0.05,0.04,0.04,0.018,0.016,-0.06,0.016,0.4,0.0,0.0,0.02,0.034,0.018,0.05,-0.014,-0.9554230888662099,1.831494833801976,-0.6324143421908445,3.8601280101708415,3.644176807121407,4.714501922301718,4.210208826762297,4.2801127403956105,3.733825706081391,4.0736078440849965,3.160159678302394,3.2042635137345155,3.052069513579861,3.964579959836843,3.772689340769464,3.8376520330092148,4.112013406178573
