carfolder,folder_name,Cd,Cl
cx5_001,cx5_001,0.315277,-0.055176
cx5_002,cx5_002,0.321845,-0.02469
cx5_003,cx5_003,0.315279,-0.038667
cx5_004,cx5_004,0.323143,-0.037685
cx5_005,cx5_005,0.315029,-0.045374
cx5_006,cx5_006,0.325002,-0.047901
cx5_007,cx5_007,0.32035,-0.039752
cx5_008,cx5_008,0.309433,-0.036357
cx5_009,cx5_009,0.320045,-0.0604
cx5_010,cx5_010,0.316076,-0.068048
cx5_011,cx5_011,0.31669,-0.061644
cx5_012,cx5_012,0.312281,-0.035897
cx5_013,cx5_013,0.321332,-0.034581
cx5_014,cx5_014,0.334692,-0.056297
cx5_015,cx5_015,0.320751,-0.065275
cx5_016,cx5_016,0.310414,-0.033529
cx5_017,cx5_017,0.320874,-0.045666
cx5_018,cx5_018,0.316852,-0.071283
cx5_019,cx5_019,0.328293,-0.06283
cx5_020,cx5_020,0.320431,-0.056372
cx5_021,cx5_021,0.321624,-0.036827
cx5_022,cx5_022,0.32051,-0.052041
cx5_023,cx5_023,0.320645,-0.05381
cx5_024,cx5_024,0.320717,-0.040718
cx5_025,cx5_025,0.311475,-0.049819
cx5_026,cx5_026,0.321045,-0.053572
cx5_027,cx5_027,0.326932,-0.031351
cx5_028,cx5_028,0.332364,-0.05365
cx5_029,cx5_029,0.316888,-0.065007
cx5_030,cx5_030,0.316936,-0.052557
cx5_031,cx5_031,0.324787,-0.049889
cx5_032,cx5_032,0.312494,-0.073353
