carfolder,folder_name,Cd,Cl
cx5_001,cx5_001,0.315277,-0.055176
cx5_002,cx5_002,0.321845,-0.02469
cx5_003,cx5_003,0.315279,-0.038667
cx5_004,cx5_004,0.323143,-0.037685
cx5_005,cx5_005,0.315029,-0.045374
cx5_006,cx5_006,0.325002,-0.047901
cx5_007,cx5_007,0.32035,-0.039752
cx5_008,cx5_008,0.309433,-0.036357
cx5_009,cx5_009,0.320045,-0.0604
cx5_010,cx5_010,0.316076,-0.068048
cx5_011,cx5_011,0.31669,-0.061644
cx5_012,cx5_012,0.312281,-0.035897
cx5_013,cx5_013,0.321332,-0.034581
cx5_014,cx5_014,0.334692,-0.056297
cx5_015,cx5_015,0.320751,-0.065275
cx5_016,cx5_016,0.310414,-0.033529
cx5_017,cx5_017,0.320874,-0.045666
cx5_018,cx5_018,0.316852,-0.071283
cx5_019,cx5_019,0.328293,-0.06283
cx5_020,cx5_020,0.320431,-0.056372
cx5_021,cx5_021,0.321624,-0.036827
cx5_022,cx5_022,0.32051,-0.052041
cx5_023,cx5_023,0.320645,-0.05381
cx5_024,cx5_024,0.320717,-0.040718
cx5_025,cx5_025,0.311475,-0.049819
cx5_026,cx5_026,0.321045,-0.053572
cx5_027,cx5_027,0.326932,-0.031351
cx5_028,cx5_028,0.332364,-0.05365
cx5_029,cx5_029,0.316888,-0.065007
cx5_030,cx5_030,0.316936,-0.052557
cx5_031,cx5_031,0.324787,-0.049889
cx5_032,cx5_032,0.312494,-0.073353
cx5_033,cx5_033,0.319110135,-0.057134104
cx5_034,cx5_034,0.319200943,-0.054958754
cx5_035,cx5_035,0.30434836,-0.033572279
cx5_036,cx5_036,0.318442016,-0.047335723
cx5_037,cx5_037,0.321756934,-0.041376793
cx5_038,cx5_038,0.315220585,-0.048912233
cx5_039,cx5_039,0.313051115,-0.040559308
cx5_040,cx5_040,0.311801164,-0.046607237
cx5_041,cx5_041,0.310495999,-0.032772191
cx5_042,cx5_042,0.320585029,-0.049372299
cx5_043,cx5_043,0.306795052,-0.046841968
cx5_044,cx5_044,0.308907453,-0.035243129
cx5_045,cx5_045,0.322406309,-0.05597109
cx5_046,cx5_046,0.319683681,-0.045991298
cx5_047,cx5_047,0.31158987,-0.023044626
cx5_048,cx5_048,0.31623088,-0.044856862
cx5_049,cx5_049,0.322792194,-0.055417661
cx5_050,cx5_050,0.313214393,-0.032193632
cx5_051,cx5_051,0.318723362,-0.044027518
cx5_052,cx5_052,0.310532704,-0.05062275
cx5_053,cx5_053,0.312835824,-0.026747859
cx5_054,cx5_054,0.31064231,-0.06922898
cx5_055,cx5_055,0.320923171,-0.064189197
cx5_056,cx5_056,0.315314804,-0.035899715
cx5_057,cx5_057,0.310868316,-0.051419704
cx5_058,cx5_058,0.318528919,-0.062266747
cx5_059,cx5_059,0.318191355,-0.030871465
cx5_060,cx5_060,0.317006863,-0.044380683
cx5_061,cx5_061,0.322045422,-0.044574321
cx5_062,cx5_062,0.318044623,-0.058622544
cx5_063,cx5_063,0.31441755,-0.034833049
cx5_064,cx5_064,0.320478289,-0.044370846
cx5_065,cx5_065,0.31029394,-0.071897174
cx5_066,cx5_066,0.311068985,-0.025257229
cx5_067,cx5_067,0.310655303,-0.049244085
cx5_068,cx5_068,0.310038387,-0.041633792
cx5_069,cx5_069,0.312376588,-0.058584462
cx5_070,cx5_070,0.317600717,-0.040195975
cx5_071,cx5_071,0.314083489,-0.05802784
cx5_072,cx5_072,0.311874609,-0.057591937
cx5_073,cx5_073,0.314041778,-0.05735922
cx5_074,cx5_074,0.306925486,-0.032885644
cx5_075,cx5_075,0.317209858,-0.05428719
cx5_076,cx5_076,0.31510502,-0.04630856
cx5_077,cx5_077,0.320746608,-0.048944256
cx5_078,cx5_078,0.306066344,-0.027679149
cx5_079,cx5_079,0.303637425,-0.032516958
cx5_080,cx5_080,0.31521514,-0.036161859
cx5_081,cx5_081,0.317770466,-0.054157292
cx5_082,cx5_082,0.321242435,-0.044618811
cx5_083,cx5_083,0.321003019,-0.055892042
cx5_084,cx5_084,0.319899364,-0.040320924
cx5_085,cx5_085,0.312130833,-0.047725665
cx5_086,cx5_086,0.31136099,-0.042777555
cx5_087,cx5_087,0.315351039,-0.059595117
cx5_088,cx5_088,0.314803731,-0.048516582
cx5_089,cx5_089,0.311413548,-0.06821177
cx5_090,cx5_090,0.30842518,-0.031150327
cx5_091,cx5_091,0.309631645,-0.070959101
cx5_092,cx5_092,0.312924885,-0.069196183
cx5_093,cx5_093,0.309903357,-0.022027508
cx5_094,cx5_094,0.313053529,-0.028532914
cx5_095,cx5_095,0.309640892,-0.049569094
cx5_096,cx5_096,0.307966505,-0.034591464
cx5_097,cx5_097,0.311740278,-0.060529823
cx5_098,cx5_098,0.311981316,-0.042152428
cx5_099,cx5_099,0.315947304,-0.0480117
cx5_100,cx5_100,0.316173004,-0.03454276
cx5_101,cx5_101,0.313984129,-0.047036526
cx5_102,cx5_102,0.315491581,-0.0401909
cx5_103,cx5_103,0.309460907,-0.072904335
cx5_104,cx5_104,0.313155601,-0.040497597
cx5_105,cx5_105,0.311793576,-0.071550896
cx5_106,cx5_106,0.319927206,-0.045031416
cx5_107,cx5_107,0.313257802,-0.060547673
cx5_108,cx5_108,0.315013204,-0.057628098
cx5_109,cx5_109,0.318700244,-0.029168614
cx5_110,cx5_110,0.308069983,-0.042220333
cx5_111,cx5_111,0.315854442,-0.06722675
cx5_112,cx5_112,0.308069402,-0.027921798
cx5_113,cx5_113,0.313011337,-0.04107176
cx5_114,cx5_114,0.315552584,-0.064238251
cx5_115,cx5_115,0.308738395,-0.063867522
cx5_116,cx5_116,0.304561225,-0.044298458
cx5_117,cx5_117,0.315989808,-0.055774799
cx5_118,cx5_118,0.320746608,-0.048944256
cx5_119,cx5_119,0.321242435,-0.044618811
cx5_120,cx5_120,0.307166962,-0.033441874
cx5_121,cx5_121,0.309640892,-0.049569094
cx5_122,cx5_122,0.313312724,-0.038276527
cx5_123,cx5_123,0.311652385,-0.056695915
cx5_124,cx5_124,0.321003019,-0.055892042
cx5_125,cx5_125,0.319899364,-0.040320924
cx5_126,cx5_126,0.310795821,-0.055701558
cx5_127,cx5_127,0.314995557,-0.072302681
cx5_128,cx5_128,0.317909864,-0.032342576
cx5_129,cx5_129,0.311554013,-0.036237784
cx5_130,cx5_130,0.310119899,-0.062272309
cx5_131,cx5_131,0.313135654,-0.026555136
cx5_132,cx5_132,0.311843744,-0.031459883
cx5_133,cx5_133,0.306763093,-0.045280389
cx5_134,cx5_134,0.310471495,-0.06782875
cx5_135,cx5_135,0.310041532,-0.067865077
cx5_136,cx5_136,0.310926086,-0.067725171
cx5_137,cx5_137,0.312761425,-0.032941001
cx5_138,cx5_138,0.304270284,-0.038278736
cx5_139,cx5_139,0.311228123,-0.054354637
cx5_140,cx5_140,0.31069881,-0.057670162
cx5_141,cx5_141,0.315315342,-0.060061108
cx5_142,cx5_142,0.309689273,-0.035244999
cx5_143,cx5_143,0.31900665,-0.06756249
cx5_144,cx5_144,0.312963905,-0.042247794
cx5_145,cx5_145,0.309485974,-0.053349171
cx5_146,cx5_146,0.31615396,-0.052873929
cx5_147,cx5_147,0.307489693,-0.05125228
cx5_148,cx5_148,0.312445443,-0.057319784
cx5_149,cx5_149,0.309265849,-0.050761201
cx5_150,cx5_150,0.31094882,-0.049687232
cx5_151,cx5_151,0.313736298,-0.029570974
cx5_152,cx5_152,0.313628563,-0.059154178
cx5_153,cx5_153,0.308078181,-0.027158743
cx5_154,cx5_154,0.314867773,-0.038427185
cx5_155,cx5_155,0.315719024,-0.066677534
cx5_156,cx5_156,0.324886746,-0.048601909
cx5_157,cx5_157,0.318754229,-0.067791198
cx5_158,cx5_158,0.318624058,-0.059571265
cx5_159,cx5_159,0.313797323,-0.038741606
cx5_160,cx5_160,0.317066115,-0.042341123
cx5_161,cx5_161,0.309429004,-0.056938244
cx5_162,cx5_162,0.309589606,-0.046561292
