id,car_name,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29,ima_1,ima_2,ima_3,ima_4,ima_5,ima_6,ima_7,ima_8,ima_9,ima_10,ima_11,ima_12,ima_13,ima_14
1,Alfa-Romeo_Stelvio_(949)_Q4_2017,-0.005,-0.116,-0.039,-0.026,0.005,-0.104,0.037,-0.019,-0.042,0.0,0.04312,1.031,0.0,-0.021,0.016,-0.112,-0.133,0.0,0.0,0.196,0.018,0.598067633,0.009,-0.016,0.046,0.039,-0.063,0.004,-0.025,4.52,4.48,5.0,4.28,4.48,3.48,4.28,3.16,3.52,3.28,3.96,3.88,4.2,4.16
2,Alfa-Romeo_Tonale_concept_2019,0.114,-0.088,-0.057,0.108,0.114,0.061,0.029,-0.002,0.011,0.0,0.02325,1.008,0.0,-0.067,-0.156,-0.089,0.0,0.0,0.0,-0.012,0.0,0.52173913,-0.022,-0.069,-0.05,-0.026,-0.01,0.018,-0.035,4.0,3.4,4.65,5.0,4.4,3.85,5.05,3.5,3.25,2.6,3.7,3.35,4.2,3.55
3,Audi_Q4_e-tron_S-line_2021,0.077,-0.079,-0.045,0.093,0.02,-0.041,0.08,-0.038,0.199,0.0,0.07195,1.099,0.0,-0.269,-0.004,-0.09,-0.075,0.0,0.0,-0.006,0.0,0.242347526,0.023,-0.014,0.035,0.01,-0.05,0.046,-0.038,2.681818182,2.636363636,3.681818182,3.909090909,3.409090909,4.545454545,4.363636364,2.954545455,3.318181818,2.818181818,3.681818182,3.454545455,3.772727273,3.863636364
4,Audi_Q7_(Mk2f)_(4M)_2019,0.088,-0.064,-0.041,0.145,0.056,-0.065,0.07,-0.04,-0.007,0.0,0.052935,1.023,0.0,-0.097,0.069,-0.047,-0.097,0.0,0.0,0.071,0.007,0.630129125,-0.01,-0.042,0.002,0.004,-0.018,0.014,-0.011,4.47826087,3.956521739,4.434782609,4.565217391,4.347826087,2.956521739,4.217391304,2.782608696,3.086956522,2.608695652,3.217391304,3.434782609,3.304347826,3.608695652
5,BMW_X7_(G07)_2019,-0.002,0.091,-0.003,0.087,0.022,-0.074,0.024,-0.047,-0.106,0.0,0.06113,1.063,-0.024,-0.099,0.15,-0.11,-0.23,0.0,0.0,0.307,0.01,0.579399142,0.004,0.02,0.027,0.033,0.004,0.009,0.006,2.6,2.95,3.4,3.85,3.2,3.35,3.05,2.85,2.7,2.85,3.75,3.65,3.3,4.15
6,Byton_M-byte_2020,0.107,0.038,-0.049,0.113,0.059,0.0,0.149,-0.044,0.166,0.0,0.035815,1.063,0.0,-0.244,-0.018,-0.096,-0.022,0.0,0.0,-0.189,0.0,0.366113744,-0.025,-0.053,-0.026,-0.09,-0.029,0.038,-0.017,3.576923077,3.769230769,4.192307692,4.461538462,4.115384615,4.269230769,4.846153846,3.076923077,3.538461538,2.730769231,3.307692308,3.307692308,4.038461538,3.230769231
7,Citroen_C4_Cactus_2015,0.087,0.052,-0.036,0.001,-0.048,0.051,0.09,0.067,0.139,0.0,0.051975,1.033,0.0,-0.193,-0.12,-0.065,0.212,0.0,0.0,-0.008,0.0,0.626481715,0.03,-0.05,0.035,-0.03,0.005,0.016,-0.007,5.142857143,4.571428571,5.142857143,5.333333333,4.714285714,4.476190476,4.666666667,5.571428571,5.333333333,5.047619048,5.285714286,5.0,5.380952381,4.857142857
8,Daihatsu_Rocky_(Mk2)_2019,0.029,0.205,-0.028,0.105,0.0,-0.04,0.052,-0.004,0.147,0.0,0.039915,1.003,0.0,-0.2,-0.203,-0.122,0.22,0.0,0.0,-0.476,0.0,0.588,0.07,0.019,0.058,0.02,-0.02,0.092,0.005,3.96,3.56,2.88,3.04,3.48,4.32,2.96,4.92,4.92,5.56,5.84,5.48,4.64,5.4
9,Daihatsu_Taft_2020,-0.055,0.423,0.019,-0.043,-0.073,0.041,0.11,0.003,-0.223,0.0,0.0565,1.151,0.0,-0.355,-0.183,-0.279,0.416,-0.059,0.091,0.21,0.001,0.609424084,0.036,0.082,0.235,-0.091,0.058,0.241,0.096,3.058823529,2.823529412,1.294117647,2.882352941,1.823529412,4.176470588,2.882352941,5.0,5.117647059,5.411764706,5.823529412,5.470588235,3.588235294,4.941176471
10,Ford_Bronco_(Mk6)_2door_Badlands_2021,-0.04,0.453,0.013,-0.035,-0.039,0.028,0.081,0.137,-0.502,0.0,0.07855,1.217,-0.062,0.423,-0.393,-0.175,0.23,0.0,0.0,1.131,0.023,1.301694915,-0.023,-0.059,0.049,-0.11,0.172,0.078,-0.11,2.238095238,1.952380952,2.095238095,2.80952381,1.857142857,5.238095238,4.619047619,4.238095238,4.904761905,3.333333333,4.761904762,4.523809524,5.047619048,3.761904762
